en,it
Press E or I to advance to the next word/image.,Premi E o I per passare alla parola/immagine successiva.
Correct mistakes by pressing the other key.,Correggi gli errori premendo l'altro tasto.
Correct errors by hitting the other key.,Correggi gli errori premendo l'altro tasto.
The label/item colors may help you identify the appropriate category.,I colori della parola/immagine possono aiutarti a identificare la categoria appropriata.
Correct errors by pressing the other key.,Correggi gli errori premendo l'altro tasto.
Your web browser encountered an issue running this portion of the study. You will be skipped ahead. You may have to click through this message several times.,Il tuo browser ha riscontrato un problema nell'eseguire questa parte della ricerca. Verrai indirizzato/a alla parte successiva. Potresti dover cliccare più volte su questo messaggio.
Loading all the content,Caricamento di tutti i contenuti.
This should take less than 1 minute,Ciò dovrebbe richiedere meno di 1 minuto.
"Instructions: Place your left and right index fingers on the <span style=\""font-weight: strong\"">E<\/span> and <span style=\""font-weight: strong\"">I<\/span> keys. At the top of the screen are 2 categories. In the task, words and/or images appear in the middle of the screen. <br><br>When the word/image belongs to the category on the left, press the <span style=\""font-weight: bold\"">E<\/span> key as fast as you can. When it belongs to the category on the right, press the <span style=\""font-weight: bold\"">I<\/span> key as fast as you can. If you make an error, a red <span style=\""font-weight: bold; color: red\"">X<\/span> will appear.","Istruzioni: Posiziona l'indice sinistro sul tasto <span style=\""font-weight: strong\"">E<\/span> e  quello destro sul tasto <span style=""font-weight: strong"">I</span>. In alto sullo schermo ci sono 2 categorie. Durante la prova, parole e/o immagini appaiono al centro dello schermo. <br><br>Quando la parola/immagine appartiene alla categoria di sinistra, premi il tasto <span style=\""font-weight: bold\"">E<\/span> il più velocemente possibile. Quando appartiene alla categoria di destra, premi il tasto <span style=\""font-weight: bold\"">I<\/span> il più velocemente possibile. Se commetti un errore, comparirà una <span style=\""font-weight: bold; color: red\"">X<\/span> rossa."
Please try to go as <em>fast as you can<\/em> while making as few errors as possible.,"Per favore, cerca di rispondere il più <em>velocemente possibile</em> facendo il minor numero possibile di errori."
"When you are ready, please press the [Space] bar to begin.","Quando sei pronto/a, per favore premi la barra spaziatrice per iniziare."
Part 1 of 7,Parte 1 di 7
"Now, the categories have changed, but the rules remain the same.","Ora, le categorie sono cambiate, ma le regole rimangono le stesse."
Part 2 of 7,Parte 2 di 7
\tor,\tor
"Now the four categories you saw separately will appear together. Remember, each word/image fits in only one of the four categories.","Ora le quattro categorie che prima hai visto separatamente, ora appariranno insieme. Ricorda, ogni parola/immagine appartiene solo a una delle quattro categorie."
"Use the <span style=\""font-weight: bold\"">E<\/span> key for the two categories on the left and the <span style=\""font-weight: bold\"">I<\/span> key for the two categories on the right. Again, try to go as fast as possible without making mistakes.","Utilizza il tasto <span style=\""font-weight: bold\"">E<\/span> per le due categorie di sinistra e il tasto <span style=\""font-weight: bold\"">I<\/span> per le due categorie di destra. Ancora una volta, cerca di procedere il più velocemente possibile senza commettere errori."
Practice this combination now.,Esercitati ora con questa combinazione.
Part 3 of 7,Parte 3 di 7
"Please continue the task as you were just doing it. Again, try to go as fast as possible without making mistakes.","Per favore, continua il compito come hai fatto finora. Di nuovo, cerca di rispondere il più velocemente possibile senza commettere errori."
Part 4 of 7,Parte 4 di 7
Notice the categories from before have switched sides. Please practice this new configuration now. Remember to try to go as <em>fast as you can<\/em> while making as few errors as possible.,"Nota che le categorie precedenti hanno cambiato posizione. Per favore, fai pratica ora con questa nuova configurazione. Ricorda di rispondere il più <em>velocemente possibile<\/em> evitando gli errori."
Part 5 of 7,Parte 5 di 7
"Notice the four categories have been combined again, but in a new configuration. Please practice this combination now, and remember to go as fast as you can while making as few mistakes as possible.","Nota che le quattro categorie sono state combinate ancora una volta combinate, ma in una nuova configurazione. Per favore, fai pratica ora con questa combinazione e ricorda di rispondere il più velocemente possibile evitando gli errori."
Part 6 of 7,Parte 6 di 7
"Please continue the task as you were just doing it, and remember to go as fast as you can while making as few mistakes as possible.","Per favore, continua il compito come hai fatto finora e ricorda di rispondere il più velocemente possibile evitando gli errori."
Part 7 of 7,Parte 7 di 7
The survey software has detected that you are attempting to take this survey from an incompatible device. The survey contains questions that will only function correctly on a computer with a keyboard. Please open this survey from a computer with a keyboard.,"Il software ha rilevato che stai cercando di svolgere questo compito da un dispositivo non compatibile. La prova può essere svolta correttamente solo con un computer dotato di tastiera. Per favore, apri questa prova da un computer dotato di tastiera."
